"source","scenario","scenario_geography","sector","technology","indicator","units","year","value"
"GECO2021","NDC-LTS","Indonesia","Power","CoalCap","Capacity","MW",2025,33892.41015625
"GECO2021","NDC-LTS","Indonesia","Power","OilCap","Capacity","MW",2025,11534.0830078125
"GECO2021","NDC-LTS","Indonesia","Power","GasCap","Capacity","MW",2025,22400.25
"GECO2021","NDC-LTS","Indonesia","Power","HydroCap","Capacity","MW",2025,10014.2783203125
"GECO2021","NDC-LTS","Indonesia","Power","NuclearCap","Capacity","MW",2025,0.00026587303727865
"GECO2021","NDC-LTS","Indonesia","Power","RenewablesCap","Capacity","MW",2025,29232.4091796875
"GECO2021","1.5C-Unif","Indonesia","Power","CoalCap","Capacity","MW",2025,33895.46484375
"GECO2021","1.5C-Unif","Indonesia","Power","OilCap","Capacity","MW",2025,12031.1767578125
"GECO2021","1.5C-Unif","Indonesia","Power","GasCap","Capacity","MW",2025,22096.52734375
"GECO2021","1.5C-Unif","Indonesia","Power","HydroCap","Capacity","MW",2025,10197.0126953125
"GECO2021","1.5C-Unif","Indonesia","Power","NuclearCap","Capacity","MW",2025,0.00026587303727865
"GECO2021","1.5C-Unif","Indonesia","Power","RenewablesCap","Capacity","MW",2025,30891.9833984375
"GECO2021","CurPol","India","Power","CoalCap","Capacity","MW",2025,254627.328125
"GECO2021","CurPol","India","Power","OilCap","Capacity","MW",2025,5659.25244140625
"GECO2021","CurPol","India","Power","GasCap","Capacity","MW",2025,67454.71875
"GECO2021","CurPol","India","Power","HydroCap","Capacity","MW",2025,64352.7265625
"GECO2021","CurPol","India","Power","NuclearCap","Capacity","MW",2025,9354.5458984375
"GECO2021","CurPol","India","Power","RenewablesCap","Capacity","MW",2025,134812.0703125
"GECO2021","NDC-LTS","India","Power","CoalCap","Capacity","MW",2025,249998.15625
"GECO2021","NDC-LTS","India","Power","OilCap","Capacity","MW",2025,5679.66650390625
"GECO2021","NDC-LTS","India","Power","GasCap","Capacity","MW",2025,68256.609375
"GECO2021","NDC-LTS","India","Power","HydroCap","Capacity","MW",2025,64541.5859375
"GECO2021","NDC-LTS","India","Power","NuclearCap","Capacity","MW",2025,14509.0908203125
"GECO2021","NDC-LTS","India","Power","RenewablesCap","Capacity","MW",2025,163821.0234375
"GECO2021","1.5C-Unif","India","Power","CoalCap","Capacity","MW",2025,231116.09375
"GECO2021","1.5C-Unif","India","Power","OilCap","Capacity","MW",2025,5834.6796875
"GECO2021","1.5C-Unif","India","Power","GasCap","Capacity","MW",2025,71172.984375
"GECO2021","1.5C-Unif","India","Power","HydroCap","Capacity","MW",2025,64742.921875
"GECO2021","1.5C-Unif","India","Power","NuclearCap","Capacity","MW",2025,13319.443359375
"GECO2021","1.5C-Unif","India","Power","RenewablesCap","Capacity","MW",2025,207389.453125
"GECO2021","CurPol","Iran","Power","CoalCap","Capacity","MW",2025,440.920532226562
"GECO2021","CurPol","Iran","Power","OilCap","Capacity","MW",2025,17712.09375
"GECO2021","CurPol","Iran","Power","GasCap","Capacity","MW",2025,62247.328125
"GECO2021","CurPol","Iran","Power","HydroCap","Capacity","MW",2025,20202.46875
"GECO2021","CurPol","Iran","Power","NuclearCap","Capacity","MW",2025,911.701171875
"GECO2021","CurPol","Iran","Power","RenewablesCap","Capacity","MW",2025,1186.46484375
"GECO2021","NDC-LTS","Iran","Power","CoalCap","Capacity","MW",2025,440.933227539062
"GECO2021","NDC-LTS","Iran","Power","OilCap","Capacity","MW",2025,17710.396484375
