"Annual energy","units","scenario","year","value","scenario_geography"
"hydro_electricity","EJ","Oxford2021_base","2026",17.69205665,"Global"
"bioenergy_electricity","EJ","Oxford2021_base","2026",2.87355416,"Global"
"wind_electricity","EJ","Oxford2021_base","2026",6.06607122,"Global"
"solar_electricity","EJ","Oxford2021_base","2026",3.88695344,"Global"
"batteries_ST_transport","EJ","Oxford2021_base","2026",0.00039719,"Global"
"batteries_ST_electricity","EJ","Oxford2021_base","2026",0,"Global"
"batteries_LT_electricity","EJ","Oxford2021_base","2026",0,"Global"
"hydrogen","EJ","Oxford2021_base","2026",0.00155188,"Global"
"oil_final","EJ","Oxford2021_fast","2026",126.8680446,"Global"
"coal_final","EJ","Oxford2021_fast","2026",32.3539464,"Global"
"gas_final","EJ","Oxford2021_fast","2026",50.21655143,"Global"
"coal_electricity","EJ","Oxford2021_fast","2026",35.37837405,"Global"
"gas_electricity","EJ","Oxford2021_fast","2026",36.04682901,"Global"
"nuclear_electricity","EJ","Oxford2021_fast","2026",10.90148566,"Global"
"hydro_electricity","EJ","Oxford2021_fast","2026",17.69205665,"Global"
"bioenergy_electricity","EJ","Oxford2021_fast","2026",5.57333091,"Global"
"wind_electricity","EJ","Oxford2021_fast","2026",19.71151804,"Global"
"solar_electricity","EJ","Oxford2021_fast","2026",19.10005671,"Global"
"batteries_ST_transport","EJ","Oxford2021_fast","2026",0.01455994,"Global"
"batteries_ST_electricity","EJ","Oxford2021_fast","2026",0.0004295,"Global"
"batteries_LT_electricity","EJ","Oxford2021_fast","2026",5.51e-05,"Global"
"hydrogen","EJ","Oxford2021_fast","2026",0.06872296,"Global"
"oil_final","EJ","Oxford2021_base","2027",158.1731491,"Global"
"coal_final","EJ","Oxford2021_base","2027",46.04691667,"Global"
"gas_final","EJ","Oxford2021_base","2027",67.28371161,"Global"
"coal_electricity","EJ","Oxford2021_base","2027",42.73969176,"Global"
"gas_electricity","EJ","Oxford2021_base","2027",26.65056428,"Global"
"nuclear_electricity","EJ","Oxford2021_base","2027",11.59239792,"Global"
"hydro_electricity","EJ","Oxford2021_base","2027",18.04589779,"Global"
"bioenergy_electricity","EJ","Oxford2021_base","2027",2.91598868,"Global"
"wind_electricity","EJ","Oxford2021_base","2027",6.2761132,"Global"
"solar_electricity","EJ","Oxford2021_base","2027",4.19790972,"Global"
"batteries_ST_transport","EJ","Oxford2021_base","2027",0.00040514,"Global"
"batteries_ST_electricity","EJ","Oxford2021_base","2027",0,"Global"
"batteries_LT_electricity","EJ","Oxford2021_base","2027",0,"Global"
"hydrogen","EJ","Oxford2021_base","2027",0.00158291,"Global"
"oil_final","EJ","Oxford2021_fast","2027",120.791346,"Global"
"coal_final","EJ","Oxford2021_fast","2027",30.09972885,"Global"
"gas_final","EJ","Oxford2021_fast","2027",50.78590802,"Global"
"coal_electricity","EJ","Oxford2021_fast","2027",33.96715646,"Global"
"gas_electricity","EJ","Oxford2021_fast","2027",35.98899178,"Global"
"nuclear_electricity","EJ","Oxford2021_fast","2027",10.88774301,"Global"
"hydro_electricity","EJ","Oxford2021_fast","2027",18.04589779,"Global"
"bioenergy_electricity","EJ","Oxford2021_fast","2027",6.130664,"Global"
"wind_electricity","EJ","Oxford2021_fast","2027",23.49562913,"Global"
"solar_electricity","EJ","Oxford2021_fast","2027",24.95959,"Global"
"batteries_ST_transport","EJ","Oxford2021_fast","2027",0.0232959,"Global"
"batteries_ST_electricity","EJ","Oxford2021_fast","2027",0.00068719,"Global"
"batteries_LT_electricity","EJ","Oxford2021_fast","2027",9.92e-05,"Global"
"hydrogen","EJ","Oxford2021_fast","2027",0.11303609,"Global"
"oil_final","EJ","Oxford2021_base","2028",160.551887,"Global"
"coal_final","EJ","Oxford2021_base","2028",46.967855,"Global"
"gas_final","EJ","Oxford2021_base","2028",68.62938585,"Global"
"coal_electricity","EJ","Oxford2021_base","2028",43.50900621,"Global"
"gas_electricity","EJ","Oxford2021_base","2028",27.18357557,"Global"
"nuclear_electricity","EJ","Oxford2021_base","2028",11.82424587,"Global"
"hydro_electricity","EJ","Oxford2021_base","2028",18.40681574,"Global"
"bioenergy_electricity","EJ","Oxford2021_base","2028",2.96212576,"Global"
"wind_electricity","EJ","Oxford2021_base","2028",6.49264952,"Global"
"solar_electricity","EJ","Oxford2021_base","2028",4.53374249,"Global"
"batteries_ST_transport","EJ","Oxford2021_base","2028",0.00041324,"Global"
"batteries_ST_electricity","EJ","Oxford2021_base","2028",0,"Global"
"batteries_LT_electricity","EJ","Oxford2021_base","2028",0,"Global"
"hydrogen","EJ","Oxford2021_base","2028",0.00161457,"Global"
"oil_final","EJ","Oxford2021_fast","2028",113.5524435,"Global"
"coal_final","EJ","Oxford2021_fast","2028",27.62715619,"Global"
"gas_final","EJ","Oxford2021_fast","2028",50.74258814,"Global"
"coal_electricity","EJ","Oxford2021_fast","2028",31.09959197,"Global"
"gas_electricity","EJ","Oxford2021_fast","2028",36.14784799,"Global"
"nuclear_electricity","EJ","Oxford2021_fast","2028",10.82749624,"Global"
"hydro_electricity","EJ","Oxford2021_fast","2028",18.40681574,"Global"
"bioenergy_electricity","EJ","Oxford2021_fast","2028",6.7437304,"Global"
"wind_electricity","EJ","Oxford2021_fast","2028",27.83589317,"Global"
"solar_electricity","EJ","Oxford2021_fast","2028",32.39891792,"Global"
"batteries_ST_transport","EJ","Oxford2021_fast","2028",0.03305393,"Global"
"batteries_ST_electricity","EJ","Oxford2021_fast","2028",0.00109951,"Global"
"batteries_LT_electricity","EJ","Oxford2021_fast","2028",0.00017852,"Global"
"hydrogen","EJ","Oxford2021_fast","2028",0.18609157,"Global"
"oil_final","EJ","Oxford2021_base","2029",162.8997273,"Global"
"coal_final","EJ","Oxford2021_base","2029",47.9072121,"Global"
"gas_final","EJ","Oxford2021_base","2029",70.00197828,"Global"
"coal_electricity","EJ","Oxford2021_base","2029",44.29216832,"Global"
"gas_electricity","EJ","Oxford2021_base","2029",27.72724708,"Global"
"nuclear_electricity","EJ","Oxford2021_base","2029",12.06073079,"Global"
"hydro_electricity","EJ","Oxford2021_base","2029",18.69436269,"Global"
"bioenergy_electricity","EJ","Oxford2021_base","2029",3.17225034,"Global"
"wind_electricity","EJ","Oxford2021_base","2029",6.68742901,"Global"
"solar_electricity","EJ","Oxford2021_base","2029",4.84595864,"Global"
"batteries_ST_transport","EJ","Oxford2021_base","2029",0.0004215,"Global"
"batteries_ST_electricity","EJ","Oxford2021_base","2029",0,"Global"
"batteries_LT_electricity","EJ","Oxford2021_base","2029",0,"Global"
"hydrogen","EJ","Oxford2021_base","2029",0.00164215,"Global"
"oil_final","EJ","Oxford2021_fast","2029",104.8898323,"Global"
"coal_final","EJ","Oxford2021_fast","2029",25.04390077,"Global"
"gas_final","EJ","Oxford2021_fast","2029",49.92745679,"Global"
"coal_electricity","EJ","Oxford2021_fast","2029",26.43465318,"Global"
"gas_electricity","EJ","Oxford2021_fast","2029",36.98283494,"Global"
"nuclear_electricity","EJ","Oxford2021_fast","2029",10.71922128,"Global"
"hydro_electricity","EJ","Oxford2021_fast","2029",18.77495206,"Global"
"bioenergy_electricity","EJ","Oxford2021_fast","2029",7.32860825,"Global"
"wind_electricity","EJ","Oxford2021_fast","2029",32.63217747,"Global"
"solar_electricity","EJ","Oxford2021_fast","2029",41.61822541,"Global"
"batteries_ST_transport","EJ","Oxford2021_fast","2029",0.04108971,"Global"
"batteries_ST_electricity","EJ","Oxford2021_fast","2029",0.00175922,"Global"
"batteries_LT_electricity","EJ","Oxford2021_fast","2029",0.00032134,"Global"
"hydrogen","EJ","Oxford2021_fast","2029",0.30663968,"Global"
"oil_final","EJ","Oxford2021_base","2030",165.2082046,"Global"
"coal_final","EJ","Oxford2021_base","2030",48.86535634,"Global"
"gas_final","EJ","Oxford2021_base","2030",71.40202269,"Global"
"coal_electricity","EJ","Oxford2021_base","2030",45.08942735,"Global"
"gas_electricity","EJ","Oxford2021_base","2030",28.28179202,"Global"
"nuclear_electricity","EJ","Oxford2021_base","2030",12.30194541,"Global"
"hydro_electricity","EJ","Oxford2021_base","2030",18.98524957,"Global"
"bioenergy_electricity","EJ","Oxford2021_base","2030",3.4115294,"Global"
"wind_electricity","EJ","Oxford2021_base","2030",6.88805188,"Global"
"solar_electricity","EJ","Oxford2021_base","2030",5.16847138,"Global"
"batteries_ST_transport","EJ","Oxford2021_base","2030",0.00042993,"Global"
"batteries_ST_electricity","EJ","Oxford2021_base","2030",0,"Global"
"batteries_LT_electricity","EJ","Oxford2021_base","2030",0,"Global"
"hydrogen","EJ","Oxford2021_base","2030",0.00167014,"Global"
"oil_final","EJ","Oxford2021_fast","2030",94.67366073,"Global"
"coal_final","EJ","Oxford2021_fast","2030",22.4720593,"Global"
"gas_final","EJ","Oxford2021_fast","2030",48.13271049,"Global"
"coal_electricity","EJ","Oxford2021_fast","2030",20.73591511,"Global"
"gas_electricity","EJ","Oxford2021_fast","2030",38.09965449,"Global"
"nuclear_electricity","EJ","Oxford2021_fast","2030",10.56415112,"Global"
"hydro_electricity","EJ","Oxford2021_fast","2030",19.1504511,"Global"
"bioenergy_electricity","EJ","Oxford2021_fast","2030",7.84068695,"Global"
"wind_electricity","EJ","Oxford2021_fast","2030",37.64272719,"Global"
"solar_electricity","EJ","Oxford2021_fast","2030",52.64943668,"Global"
"batteries_ST_transport","EJ","Oxford2021_fast","2030",0.05073873,"Global"
"batteries_ST_electricity","EJ","Oxford2021_fast","2030",0.00281475,"Global"
"batteries_LT_electricity","EJ","Oxford2021_fast","2030",0.00057842,"Global"
"hydrogen","EJ","Oxford2021_fast","2030",0.50572446,"Global"
"oil_final","EJ","Oxford2021_base","2031",167.4678997,"Global"
"coal_final","EJ","Oxford2021_base","2031",49.84266347,"Global"
"gas_final","EJ","Oxford2021_base","2031",72.83006815,"Global"
"coal_electricity","EJ","Oxford2021_base","2031",45.90103704,"Global"
"gas_electricity","EJ","Oxford2021_base","2031",28.84742786,"Global"
"nuclear_electricity","EJ","Oxford2021_base","2031",12.54798432,"Global"
"hydro_electricity","EJ","Oxford2021_base","2031",19.27948942,"Global"
"bioenergy_electricity","EJ","Oxford2021_base","2031",3.68571238,"Global"
"wind_electricity","EJ","Oxford2021_base","2031",7.09469343,"Global"
"solar_electricity","EJ","Oxford2021_base","2031",5.49904131,"Global"
"batteries_ST_transport","EJ","Oxford2021_base","2031",0.00043853,"Global"
"batteries_ST_electricity","EJ","Oxford2021_base","2031",0,"Global"
"batteries_LT_electricity","EJ","Oxford2021_base","2031",0,"Global"
"hydrogen","EJ","Oxford2021_base","2031",0.00169855,"Global"
"oil_final","EJ","Oxford2021_fast","2031",83.05773019,"Global"
"coal_final","EJ","Oxford2021_fast","2031",20.0122411,"Global"
"gas_final","EJ","Oxford2021_fast","2031",45.22642371,"Global"
"coal_electricity","EJ","Oxford2021_fast","2031",15.34228114,"Global"
"gas_electricity","EJ","Oxford2021_fast","2031",38.62942417,"Global"
"nuclear_electricity","EJ","Oxford2021_fast","2031",10.36618549,"Global"
"hydro_electricity","EJ","Oxford2021_fast","2031",19.53346012,"Global"
"bioenergy_electricity","EJ","Oxford2021_fast","2031",8.40294294,"Global"
"wind_electricity","EJ","Oxford2021_fast","2031",42.53628173,"Global"
"solar_electricity","EJ","Oxford2021_fast","2031",65.2594943,"Global"
"batteries_ST_transport","EJ","Oxford2021_fast","2031",0.06181125,"Global"
"batteries_ST_electricity","EJ","Oxford2021_fast","2031",0.0045036,"Global"
"batteries_LT_electricity","EJ","Oxford2021_fast","2031",0.00104115,"Global"
"hydrogen","EJ","Oxford2021_fast","2031",0.83476082,"Global"
"oil_final","EJ","Oxford2021_base","2032",170.3894541,"Global"
"coal_final","EJ","Oxford2021_base","2032",50.83951674,"Global"
"gas_final","EJ","Oxford2021_base","2032",74.28667465,"Global"
"coal_electricity","EJ","Oxford2021_base","2032",46.72725571,"Global"
"gas_electricity","EJ","Oxford2021_base","2032",29.42437642,"Global"
"nuclear_electricity","EJ","Oxford2021_base","2032",12.798944,"Global"
"hydro_electricity","EJ","Oxford2021_base","2032",19.57709508,"Global"
"bioenergy_electricity","EJ","Oxford2021_base","2032",3.7758103,"Global"
"wind_electricity","EJ","Oxford2021_base","2032",7.30753424,"Global"
"solar_electricity","EJ","Oxford2021_base","2032",5.83515902,"Global"
"batteries_ST_transport","EJ","Oxford2021_base","2032",0.0004473,"Global"
"batteries_ST_electricity","EJ","Oxford2021_base","2032",0,"Global"
"batteries_LT_electricity","EJ","Oxford2021_base","2032",0,"Global"
"hydrogen","EJ","Oxford2021_base","2032",0.00172737,"Global"
"oil_final","EJ","Oxford2021_fast","2032",70.88972475,"Global"
"coal_final","EJ","Oxford2021_fast","2032",17.72867121,"Global"
"gas_final","EJ","Oxford2021_fast","2032",41.07453601,"Global"
"coal_electricity","EJ","Oxford2021_fast","2032",11.00035003,"Global"
"gas_electricity","EJ","Oxford2021_fast","2032",38.68091795,"Global"
"nuclear_electricity","EJ","Oxford2021_fast","2032",10.13131914,"Global"
"hydro_electricity","EJ","Oxford2021_fast","2032",19.92412932,"Global"
"bioenergy_electricity","EJ","Oxford2021_fast","2032",8.94913423,"Global"
"wind_electricity","EJ","Oxford2021_fast","2032",47.06442681,"Global"
