"Variable_class","Sub_variable_class_1","Sub_variable_class_2","Scenario","Region","Sector","Units","year","value"
"Capacity","Electricity generation","Hydrogen","FPS","IND","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","IDN","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","JPN","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","MENA","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","RUS","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","SA","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","ZAF","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","SEAO","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","KOR","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","SSA","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","GBR","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","USA","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","WEU","Power","GW","2020",0
"Capacity","Electricity generation","Hydrogen","FPS","WORLD","Power","GW","2020",0
"Electricity generation","Coal","","FPS","AUS","Power","TWh","2020",145.7102917
"Electricity generation","Coal","","FPS","BRA","Power","TWh","2020",22.76739853
"Electricity generation","Coal","","FPS","CAN","Power","TWh","2020",41.44179379
"Electricity generation","Coal","","FPS","CHN","Power","TWh","2020",4847.258936
"Electricity generation","Coal","","FPS","CSA","Power","TWh","2020",64.59942376
"Electricity generation","Coal","","FPS","EEU","Power","TWh","2020",220.7685303
"Electricity generation","Coal","","FPS","EURA","Power","TWh","2020",159.0423218
"Electricity generation","Coal","","FPS","GCC","Power","TWh","2020",0
"Electricity generation","Coal","","FPS","IND","Power","TWh","2020",1125.063528
"Electricity generation","Coal","","FPS","IDN","Power","TWh","2020",168.3461911
"Electricity generation","Coal","","FPS","JPN","Power","TWh","2020",298.642958
"Electricity generation","Coal","","FPS","MENA","Power","TWh","2020",140.835485
"Electricity generation","Coal","","FPS","RUS","Power","TWh","2020",153.3970113
"Electricity generation","Coal","","FPS","SA","Power","TWh","2020",17.99296725
"Electricity generation","Coal","","FPS","ZAF","Power","TWh","2020",207.5632671
"Electricity generation","Coal","","FPS","SEAO","Power","TWh","2020",395.6253606
"Electricity generation","Coal","","FPS","KOR","Power","TWh","2020",225.126011
"Electricity generation","Coal","","FPS","SSA","Power","TWh","2020",11.48363401
"Electricity generation","Coal","","FPS","GBR","Power","TWh","2020",17.24415949
"Electricity generation","Coal","","FPS","USA","Power","TWh","2020",1134.871053
"Electricity generation","Coal","","FPS","WEU","Power","TWh","2020",369.349524
"Electricity generation","Coal","","FPS","WORLD","Power","TWh","2020",9767.129845
"Electricity generation","Coal CCS","","FPS","AUS","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","BRA","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","CAN","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","CHN","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","CSA","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","EEU","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","EURA","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","GCC","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","IND","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","IDN","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","JPN","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","MENA","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","RUS","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","SA","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","ZAF","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","SEAO","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","KOR","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","SSA","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","GBR","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","USA","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","WEU","Power","TWh","2020",0
"Electricity generation","Coal CCS","","FPS","WORLD","Power","TWh","2020",0
"Electricity generation","Oil","","FPS","AUS","Power","TWh","2020",4.51538704
"Electricity generation","Oil","","FPS","BRA","Power","TWh","2020",12.37230025
"Electricity generation","Oil","","FPS","CAN","Power","TWh","2020",5.062107148
"Electricity generation","Oil","","FPS","CHN","Power","TWh","2020",11.02877609
"Electricity generation","Oil","","FPS","CSA","Power","TWh","2020",100.2541
"Electricity generation","Oil","","FPS","EEU","Power","TWh","2020",3.483934245
"Electricity generation","Oil","","FPS","EURA","Power","TWh","2020",2.251979947
"Electricity generation","Oil","","FPS","GCC","Power","TWh","2020",179.5330148
"Electricity generation","Oil","","FPS","IND","Power","TWh","2020",7.666676006
"Electricity generation","Oil","","FPS","IDN","Power","TWh","2020",15.81251442
"Electricity generation","Oil","","FPS","JPN","Power","TWh","2020",46.143959
"Electricity generation","Oil","","FPS","MENA","Power","TWh","2020",132.3760145
"Electricity generation","Oil","","FPS","RUS","Power","TWh","2020",6.973174918
"Electricity generation","Oil","","FPS","SA","Power","TWh","2020",52.28866229
