"Scenario","Region","Variable_class","Sub_variable_class_1","Units","year","value"
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2029",29.5
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2029",2.47
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2029",3.5
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2029",4.46
"RPS","USA","Price","Coal","USD / tonne","2029",26.69
"RPS","Europe","Price","Coal","USD / tonne","2029",59.39
"RPS","CHN","Price","Coal","USD / tonne","2029",71.58
"RPS","JPN","Price","Coal","USD / tonne","2029",64.67
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2030",50
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2030",3
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2030",4.5
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2030",5.5
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2030",40
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2030",2.5
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2030",4
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2030",5
"FPS","USA","Price","Coal","USD / tonne","2030",33.6
"FPS","Europe","Price","Coal","USD / tonne","2030",60.9
"FPS","CHN","Price","Coal","USD / tonne","2030",76.9
"FPS","JPN","Price","Coal","USD / tonne","2030",72.2
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2030",35
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2030",3
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2030",4
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2030",5
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2030",25
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2030",2.5
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2030",3.5
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2030",4.5
"RPS","USA","Price","Coal","USD / tonne","2030",24.9
"RPS","Europe","Price","Coal","USD / tonne","2030",60.4
"RPS","CHN","Price","Coal","USD / tonne","2030",70.3
"RPS","JPN","Price","Coal","USD / tonne","2030",64.1
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2031",48.5
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2031",2.95
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2031",4.4
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2031",5.4
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2031",38.5
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2031",2.45
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2031",3.9
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2031",4.9
"FPS","USA","Price","Coal","USD / tonne","2031",32.72
"FPS","Europe","Price","Coal","USD / tonne","2031",60.75
"FPS","CHN","Price","Coal","USD / tonne","2031",76.11
"FPS","JPN","Price","Coal","USD / tonne","2031",71.16
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2031",34
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2031",2.95
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2031",3.9
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2031",4.85
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2031",24
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2031",2.45
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2031",3.4
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2031",4.35
"RPS","USA","Price","Coal","USD / tonne","2031",24.82
"RPS","Europe","Price","Coal","USD / tonne","2031",59.98
"RPS","CHN","Price","Coal","USD / tonne","2031",69.83
"RPS","JPN","Price","Coal","USD / tonne","2031",63.55
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2032",47
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2032",2.9
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2032",4.3
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2032",5.3
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2032",37
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2032",2.4
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2032",3.8
