Source,Scenario,ScenarioGeography,Sector,Technology,Sub_Technology,Indicator,Units,Year,AnnualvalIEAtech,refvalIEAtech,refvalIEAsec,techFSRatio,mktFSRatio,Direction,FairSharePerc
WEO2021,APS,NonOECD,Power,RenewablesCap,NA,Capacity,GW,2030,121.39999999999999,3578.2399999999993,88890.9,-0.9660727061348595,-0.36627565081305935,increasing,-0.36627565081305935
WEO2021,APS,NonOECD,Power,CoalCap,NA,Capacity,GW,2035,1626.94,1747.12,88890.9,-0.06878749026970091,-0.012733886357110372,declining,-0.06878749026970091
WEO2021,APS,NonOECD,Power,CoalCap,NA,Capacity,GW,2035,142.22,1747.12,88890.9,-0.918597463253812,-0.17005004338930324,declining,-0.918597463253812
WEO2021,APS,NonOECD,Power,GasCap,NA,Capacity,GW,2035,1211.22,1125.97,88890.9,0.07571249678055365,0.00903281587571693,declining,0.07571249678055365
WEO2021,APS,NonOECD,Power,GasCap,NA,Capacity,GW,2035,167.44,1125.97,88890.9,-0.8512926632148281,-0.10156275661408738,declining,-0.8512926632148281
WEO2021,APS,NonOECD,Power,HydroCap,NA,Capacity,GW,2035,2258.82,2038.38,88890.9,0.10814470314661645,0.0233571135676603,increasing,0.0233571135676603
WEO2021,APS,NonOECD,Power,HydroCap,NA,Capacity,GW,2035,160.02,2038.38,88890.9,-0.9214964825008095,-0.19902498566934493,increasing,-0.19902498566934493
WEO2021,APS,NonOECD,Power,NuclearCap,NA,Capacity,GW,2035,246.24,192.47,88890.9,0.27936821322803557,0.005697296300730785,increasing,0.005697296300730785
WEO2021,APS,NonOECD,Power,NuclearCap,NA,Capacity,GW,2035,0,192.47,88890.9,-1,-0.020393502306149416,increasing,-0.020393502306149416
WEO2021,APS,NonOECD,Power,OilCap,NA,Capacity,GW,2035,194.85,206.91,88890.9,-0.05828621139625925,-0.0012778388206586065,declining,-0.05828621139625925
WEO2021,APS,NonOECD,Power,OilCap,NA,Capacity,GW,2035,18.66,206.91,88890.9,-0.909815861968972,-0.01994636467570337,declining,-0.909815861968972
WEO2021,APS,NonOECD,Power,RenewablesCap,NA,Capacity,GW,2035,5280.73,3578.2399999999993,88890.9,0.4757897737435165,0.18039036598532926,increasing,0.18039036598532926
WEO2021,APS,NonOECD,Power,RenewablesCap,NA,Capacity,GW,2035,182.67999999999998,3578.2399999999993,88890.9,-0.9489469683419782,-0.35978261906098974,increasing,-0.35978261906098974
WEO2021,APS,NonOECD,Power,CoalCap,NA,Capacity,GW,2040,1512.73,1747.12,88890.9,-0.13415792847657854,-0.024835210710959416,declining,-0.13415792847657854
WEO2021,APS,NonOECD,Power,CoalCap,NA,Capacity,GW,2040,157.34,1747.12,88890.9,-0.9099432208434453,-0.16844797680817902,declining,-0.9099432208434453
WEO2021,APS,NonOECD,Power,GasCap,NA,Capacity,GW,2040,1318.6,1125.97,88890.9,0.17107915841452248,0.020410455391663945,declining,0.17107915841452248
WEO2021,APS,NonOECD,Power,GasCap,NA,Capacity,GW,2040,190.42,1125.97,88890.9,-0.8308835937014308,-0.09912786970706129,declining,-0.8308835937014308
