scenario_geography,scenario,ald_sector,units,technology,year,direction,fair_share_perc
Africa,WEO2021_STEPS,Power,GW,RenewablesCap,2040,increasing,0.35744284773774665
Africa,WEO2021_STEPS,Power,GW,CoalCap,2045,declining,-0.20990099009901003
Africa,WEO2021_STEPS,Power,GW,GasCap,2045,declining,0.4399817434961205
Africa,WEO2021_STEPS,Power,GW,HydroCap,2045,increasing,0.19805216917523663
Africa,WEO2021_STEPS,Power,GW,NuclearCap,2045,increasing,0.00308747077118663
Africa,WEO2021_STEPS,Power,GW,OilCap,2045,declining,0.03134153485647335
Africa,WEO2021_STEPS,Power,GW,RenewablesCap,2045,increasing,0.5142000953483621
Africa,WEO2021_STEPS,Power,GW,CoalCap,2050,declining,-0.20506050605060505
Africa,WEO2021_STEPS,Power,GW,GasCap,2050,declining,0.5937927886809676
Africa,WEO2021_STEPS,Power,GW,HydroCap,2050,increasing,0.31696519784785127
Africa,WEO2021_STEPS,Power,GW,NuclearCap,2050,increasing,0.00308747077118663
Africa,WEO2021_STEPS,Power,GW,OilCap,2050,declining,0.02753368482718212
Africa,WEO2021_STEPS,Power,GW,RenewablesCap,2050,increasing,0.6529546641240437
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,CoalCap,2025,declining,0
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,GasCap,2025,declining,0
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,HydroCap,2025,increasing,0
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,NuclearCap,2025,increasing,0
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,OilCap,2025,declining,0
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,RenewablesCap,2025,increasing,0
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,CoalCap,2030,declining,2.003741874887182
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,GasCap,2030,declining,-0.090721316244705
Algeria&Libya,GECO2021_1.5C-Unif,Power,MW,HydroCap,2030,increasing,0.01389770833686313
